"category","crops","country","value"
"fruits","mangoes","Luxembourg",0
"fruits","mangoes","Macao SAR, China",0
"fruits","mangoes","Madagascar",14
"fruits","mangoes","Malawi",13
"fruits","mangoes","Malaysia",148
"fruits","mangoes","Maldives",3
"fruits","mangoes","Mali",17
"fruits","mangoes","Malta",2
"fruits","mangoes","Marshall Islands",0
"fruits","mangoes","Martinique",7
"fruits","mangoes","Mauritania",2
"fruits","mangoes","Mauritius",15
"fruits","mangoes","Mayotte",1
"fruits","mangoes","Mexico",320
"fruits","mangoes","Micronesia, Fed. Sts.",2
"fruits","mangoes","Moldova",0
"fruits","mangoes","Monaco",0
"fruits","mangoes","Mongolia",0
"fruits","mangoes","Montenegro",0
"fruits","mangoes","Montserrat",2
"fruits","mangoes","Morocco",4
"fruits","mangoes","Mozambique",21
"fruits","mangoes","Myanmar",40
"fruits","mangoes","Namibia",3
"fruits","mangoes","Nauru",0
"fruits","mangoes","Nepal",32
"fruits","mangoes","Netherlands",29
"fruits","mangoes","New Caledonia",5
"fruits","mangoes","New Zealand",27
"fruits","mangoes","Nicaragua",3
"fruits","mangoes","Niger",17
"fruits","mangoes","Nigeria",233
"fruits","mangoes","Niue",0
"fruits","mangoes","Norfolk Island",0
"fruits","mangoes","North Macedonia",0
"fruits","mangoes","Northern Mariana Islands",1
"fruits","mangoes","Norway",6
"fruits","mangoes","Oman",38
"fruits","mangoes","Pakistan",372
"fruits","mangoes","Palau",1
"fruits","mangoes","Palestine",2
"fruits","mangoes","Panama",26
"fruits","mangoes","Papua New Guinea",16
"fruits","mangoes","Paraguay",1
"fruits","mangoes","Peru",198
"fruits","mangoes","Philippines",130
"fruits","mangoes","Pitcairn",0
"fruits","mangoes","Poland",8
"fruits","mangoes","Portugal",15
"fruits","mangoes","Puerto Rico",29
"fruits","mangoes","Qatar",4
"fruits","mangoes","Reunion",39
"fruits","mangoes","Romania",9
"fruits","mangoes","Russian Federation",27
"fruits","mangoes","Rwanda",2
"fruits","mangoes","Saint Barthelemy",0
"fruits","mangoes","Saint Helena",0
"fruits","mangoes","Saint Pierre and Miquelon",0
"fruits","mangoes","Samoa",1
"fruits","mangoes","San Marino",0
"fruits","mangoes","Saudi Arabia",22
"fruits","mangoes","Senegal",53
"fruits","mangoes","Serbia",3
"fruits","mangoes","Seychelles",8
"fruits","mangoes","Sierra Leone",8
"fruits","mangoes","Singapore",17
"fruits","mangoes","Sint Maarten (Dutch part)",0
"fruits","mangoes","Slovak Republic",2
"fruits","mangoes","Slovenia",0
"fruits","mangoes","Solomon Islands",4
"fruits","mangoes","Somalia",2
"fruits","mangoes","South Africa",105
"fruits","mangoes","South Georgia and the South Sandwich Islands",1
"fruits","mangoes","South Sudan",0
"fruits","mangoes","Spain",102
"fruits","mangoes","Sri Lanka",58
"fruits","mangoes","St. Kitts and Nevis",1
"fruits","mangoes","St. Lucia",5
"fruits","mangoes","St. Martin (French part)",0
"fruits","mangoes","St. Vincent and the Grenadines",3
"fruits","mangoes","Sudan",38
"fruits","mangoes","Suriname",3
"fruits","mangoes","Svalbard and Jan Mayen",1
"fruits","mangoes","Sweden",6
"fruits","mangoes","Switzerland",10
"fruits","mangoes","Syrian Arab Republic",2
"fruits","mangoes","São Tomé and Príncipe",0
"fruits","mangoes","Taiwan, China",65
"fruits","mangoes","Tajikistan",1
"fruits","mangoes","Tanzania",44
"fruits","mangoes","Thailand",256
"fruits","mangoes","Timor-Leste",2
"fruits","mangoes","Togo",80
"fruits","mangoes","Tokelau",0
"fruits","mangoes","Tonga",2
"fruits","mangoes","Trinidad and Tobago",14
"fruits","mangoes","Tunisia",3
"fruits","mangoes","Turkmenistan",1
"fruits","mangoes","Turks and Caicos Islands",0
"fruits","mangoes","Tuvalu",0
"fruits","mangoes","Türkiye",18
"fruits","mangoes","Uganda",57
"fruits","mangoes","Ukraine",5
"fruits","mangoes","United Arab Emirates",20
"fruits","mangoes","United Kingdom",76
"fruits","mangoes","United States",463
"fruits","mangoes","Uruguay",83
"fruits","mangoes","Uzbekistan",0
"fruits","mangoes","Vanuatu",2
"fruits","mangoes","Venezuela, RB",25
"fruits","mangoes","Vietnam",81
"fruits","mangoes","Virgin Islands (U.S.)",4
"fruits","mangoes","Wallis and Futuna",1
"fruits","mangoes","Western Sahara",0
"fruits","mangoes","Yemen, Rep.",13
"fruits","mangoes","Zambia",9
"fruits","mangoes","Zimbabwe",8
"fruits","mangosteen","Afghanistan",0
"fruits","mangosteen","Aland Islands",0
"fruits","mangosteen","Albania",0
"fruits","mangosteen","Algeria",0
"fruits","mangosteen","American Samoa",0
"fruits","mangosteen","Andorra",0
"fruits","mangosteen","Angola",0
"fruits","mangosteen","Anguilla",0
"fruits","mangosteen","Antarctica",0
"fruits","mangosteen","Antigua and Barbuda",0
"fruits","mangosteen","Argentina",1
"fruits","mangosteen","Armenia",0
"fruits","mangosteen","Aruba",0
"fruits","mangosteen","Australia",12
"fruits","mangosteen","Austria",0
"fruits","mangosteen","Azerbaijan",0
"fruits","mangosteen","Bahamas, The",0
"fruits","mangosteen","Bahrain",0
"fruits","mangosteen","Bangladesh",1
"fruits","mangosteen","Barbados",0
"fruits","mangosteen","Belarus",1
"fruits","mangosteen","Belgium",1
"fruits","mangosteen","Belize",0
"fruits","mangosteen","Benin",0
"fruits","mangosteen","Bermuda",0
"fruits","mangosteen","Bhutan",0
"fruits","mangosteen","Bolivia",1
"fruits","mangosteen","Bonaire",0
"fruits","mangosteen","Bosnia and Herzegovina",0
"fruits","mangosteen","Botswana",0
"fruits","mangosteen","Brazil",21
"fruits","mangosteen","British Indian Ocean Territory",0
"fruits","mangosteen","British Virgin Islands",0
"fruits","mangosteen","Brunei Darussalam",0
"fruits","mangosteen","Bulgaria",0
